Designator,Mid X,Mid Y,Rotation,Layer
ANTENA,85.88,-104.67,0.0,top
BT1,52.46,-164.67,0.0,bottom
C1,80.42,-94.69,45.0,top
C10,103.66,-78.4,270.0,top
C11,106.6,-83.78,0.0,top
C12,106.23,-80.35,225.0,top
C2,79.83,-100.93,135.0,top
C25,102.01,-71.68,0.0,top
C26,95.38,-75.98,0.0,top
C27,96.53,-73.68,225.0,top
C28,98.32,-72.195,270.0,top
C29,99.94,-72.195,270.0,top
C30,95.39,-76.78,0.0,top
C31,95.38,-75.19,0.0,top
C32,97.5,-72.195,270.0,top
C33,99.13,-72.195,270.0,top
C34,95.76,-77.91,270.0,top
C4,83.91,-103.54,135.0,top
C5,85.71,-102.0,225.0,top
C6,83.16,-93.64,0.0,top
C7,78.5206,-94.7994,45.0,top
C8,102.03,-72.72,0.0,top
C9,101.66,-76.14,270.0,bottom
D2,96.7525,-113.1825,90.0,top
J2,85.4802,-165.84,0.0,bottom
L1,90.34,-75.38,180.0,top
L2,90.34,-73.0,180.0,top
Q2,92.105,-109.395,180.0,top
Q3,89.0268,-99.5613,315.0,top
Q4,91.4766,-95.4366,315.0,top
R1,78.42,-96.7,225.0,top
R11,103.725,-107.205,90.0,top
R12,103.735,-109.165,90.0,top
R13,91.6,-98.77,315.0,top
R14,93.7064,-93.688,135.0,top
R15,86.25,-163.3,180.0,top
R16,83.74,-163.8,270.0,top
R7,94.915,-106.235,90.0,top
U1,99.57,-76.69,180.0,top
U2,83.1019,-98.28,45.0,top
U5,99.305,-107.635,270.0,top
U6,100.885,-113.2625,180.0,top
Y2,105.11,-75.33,270.0,top
Y3,88.1768,-93.1489,135.0,top
