Designator,Footprint,Quantity,Value,LCSC Part #
ANTENA,NFC Antenna ,1,Antena,
BT1,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,1,Battery,
"C1, C2, C4, C6",0402,4,0.1μF,
"C10, C8, C9",0402,3,100nF,
"C11, C12",0603,2,10µF,
"C25, C7",0402,2,1µF,
"C26, C27, C28, C29, C30, C31, C32, C33",0201,8,12pF,
C34,0201,1,33pF,
C5,0603,1,15pF,
D2,D_SOD-123,1,D_Schottky_Generic,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"L1, L2",lnductor 470nH,2,470nH,
Q2,SOT-23,1,AO3401A,
"Q3, Q4",SOT-23,2,BSS138,
"R1, R13, R14",0402,3,10kΩ,
"R11, R12",0402,2,1kΩ,
"R15, R16",0402,2,5.1kΩ,
R7,0402,1,2kΩ,
U1,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,1,ST25R3911B-AQW,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U6,SOT-23-5,1,AP2112K-3.3TRG1,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27.12MHz,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
